1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,5544WPRTLB85WYB,110071732588,PROTOLABS,8500 WYOMING AVE N,MINNEAPOLIS,HENNEPIN,MN,55445,,,45.110140,-93.383248,NAD83,NA,,NA,NA,,NA,NO,332,Fabricated Metals,,,,,,,332710,,,,,,1323222368680,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.930,0.000,36.930,0.000,0.000,0.000,0.000,4342.920,4342.920,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4379.850,36.930,0.000,0.000,0.000,0.000,36.930,0.000,0.000,0.000,4342.920,0.000,0.000,4379.850,,,
2023,56511TMNDSFRTHR,110018920676,TEAM INDUSTRIES-AUDUBON,500 ROBIN ST,AUDUBON,BECKER,MN,56511,,,46.867639,-95.984694,NAD83,TEAM INDUSTRIES,867264434,TEAM INDUSTRIES,NA,,NA,NO,333,Machinery,,,,,,,333612,,,,,,1323222218493,Chromium,NO,0007440473,7440-47-3,150060,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,75617.000,75617.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,75617.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,75617.000,0.000,0.000,75617.000,,PRODUCTION,0.980
2023,5605WTBLKC52182,110003765462,TBEI - TRUCK BODIES & EQUIPMENT INTERNATIONAL (LAKE CRYSTAL),52182 EMBER RD,LAKE CRYSTAL,BLUE EARTH,MN,56055,,,44.129780,-94.184397,NAD83,FEDERAL SIGNAL CORP,045256666,FEDERAL SIGNAL CORP,NA,,NA,NO,336,Transportation Equipment,,,,,,,336211,,,,,,1323221706409,Chromium,NO,0007440473,7440-47-3,150060,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.000,206.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,206.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,78983.000,0.000,0.000,0.000,78983.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,78983.000,206.110,0.000,0.000,206.110,0.000,0.000,0.000,0.000,0.000,78983.000,0.000,0.000,79189.110,,PRODUCTION,0.850
2023,56649BSCSCSECON,110000427501,BOISE WHITE PAPER LLC,400 SECOND ST,INTERNATIONAL FALLS,KOOCHICHING,MN,56649,,,48.606000,-93.407100,NAD83,PACKAGING CORP OF AMERICA,060047151,PACKAGING CORP OF AMERICA,NA,,NA,NO,322,Paper,,,,,,,322120,,,,,,1323221960065,Dioxin and dioxin-like compounds,NO,N150,N150,755371,YES,Dioxin,NO,Non_Metal,YES,YES,NO,R,Grams,0.000,0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.487,0.000,0.000,0.155,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.487,,PRODUCTION,0.950
2023,55344RSMNT12001,110001443956,EMERSON AUTOMATION SOLUTIONS ROSEMOUNT INC,12001 TECHNOLOGY DR,EDEN PRAIRIE,HENNEPIN,MN,55344,,,44.862200,-93.431290,NAD83,EMERSON ELECTRIC CO,006269633,EMERSON ELECTRIC CO,NA,,NA,NO,334,Computers and Electronic Products,,,,,,,334513,,,,,,1323221749373,Lead  And Lead Compounds,YES,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.100,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.360,0.000,0.000,4.563,0.000,0.000,39.023,0.000,0.000,0.000,0.000,257.800,257.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,296.823,39.053,0.000,0.000,0.030,34.360,4.663,0.000,0.000,0.000,257.800,0.000,0.000,296.853,,PRODUCTION,0.970
2023,56187HBBRDCOUNT,110000594731,RIDLEY BLOCK OPERATIONS,2740 COUNTY RD 35 E,WORTHINGTON,NOBLES,MN,56187,,,43.615033,-95.562283,NAD83,ALLTECH INC,037853744,ALLTECH INC,NA,,NA,NO,311,Food,,,,,,,311119,,,,,,1323221676505,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,Metal complound categories,NO,NO,NO,A,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000
2023,55616STNLY1538S,110000426236,STANLEY HYDRAULIC TOOLS,1538 HWY 2,TWO HARBORS,LAKE,MN,55616,,,47.043459,-91.665990,NAD83,STANLEY BLACK & DECKER,001152461,STANLEY BLACK & DECKER,NA,,NA,NO,333,Machinery,,,,,,,333120,,,,,,1323221546524,Manganese,NO,0007439965,7439-96-5,149625,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19223.000,0.000,0.000,0.000,19223.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19223.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19223.000,0.000,0.000,19223.000,,PRODUCTION,0.340
2023,55075TWNCT501MA,110000423943,TWIN CITY TANNING CO LLP,501 MALDEN ST,SOUTH SAINT PAUL,DAKOTA,MN,55075,,,44.875410,-93.025680,NAD83,NA,,NA,NA,,NA,NO,316,Leather,,,,,,,316110,,,,,,1323221742137,Ammonia,NO,0007664417,7664-41-7,152389,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,8647.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8647.000,0.000,25947.000,25947.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25947.000,0.000,25947.000,8647.000,0.000,0.000,8647.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25947.000,34594.000,,PRODUCTION,0.750
2023,55308NRTHR13999,110000424700,XCEL ENERGY SHERBURNE COUNTY GENERATING PLANT,13999 INDUSTRIAL BLVD,BECKER,SHERBURNE,MN,55308,,,45.378900,-93.897600,NAD83,XCEL ENERGY,848381245,XCEL ENERGY,,,NA,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1323221909841,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,5.000,1560.000,0.000,0.000,0.000,0.000,0.000,0.000,40300.000,0.000,0.000,0.000,39900.000,0.000,81765.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,21.000,0.000,0.000,21.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.000,81770.000,0.000,40300.000,41500.000,5.000,0.000,0.000,0.000,0.000,21.000,0.000,0.000,81826.000,,PRODUCTION,0.690
2023,5605WTBLKC52182,110003765462,TBEI - TRUCK BODIES & EQUIPMENT INTERNATIONAL (LAKE CRYSTAL),52182 EMBER RD,LAKE CRYSTAL,BLUE EARTH,MN,56055,,,44.129780,-94.184397,NAD83,FEDERAL SIGNAL CORP,045256666,FEDERAL SIGNAL CORP,NA,,NA,NO,336,Transportation Equipment,,,,,,,336211,,,,,,1323221706563,Phosphorus (yellow or white),NO,0012185103,12185-10-3,153049,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4755.000,4755.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4755.000,4756.000,0.000,0.000,1.000,0.000,4755.000,0.000,0.000,0.000,0.000,0.000,0.000,4756.000,,PRODUCTION,0.850
